"Unique Line ID","Fiscal Year Ending","County","County Name","Public Safety & Legal Services","Physical Health & Social Services","Mental Health MR, DD","County Environment & Education","Roads & Transportation","Government Services to Residents","Administration","Nonprogram Current","Debt Service","Capital Projects","Sub-Total Expenditures","Operating Transfers Out","Refunded Debt/Escrow","Total Expenditures","Increase (Decrease) in Reserves","Total Ending Fund Balance","Total Requirements","Primary County Coordinates"
"2011_36_FREMONT_EXPEND_SA","6/30/2011","36","FREMONT","$1,908,723","$299,194","$1,215,893","$749,590","$3,689,100","$412,134","$1,307,703","$2,300","$145,840","$341,000","$10,071,477","$855,661","$0","$10,927,138","$0","$2,572,271","$13,499,409",
"2015_35_FRANKLIN_EXPEND_SA","6/30/2015","35","FRANKLIN","$1,746,426","$2,453,046","$498,992","$890,221","$4,661,000","$459,700","$1,785,725","$0","$1,511,400","$750,000","$14,756,510","$1,660,990","$0","$16,417,500","$0","$5,685,487","$22,102,987",
"2019_84_SIOUX_EXPEND_SA","6/30/2019","84","SIOUX","$4,665,242","$1,254,089","$788,877","$1,733,619","$7,411,205","$1,087,570","$2,586,529","$40,000","$1,316,520","$4,773,800","$25,657,451","$3,128,000","$0","$28,785,451","$0","$14,247,018","$43,032,469",
"2008_69_MONTGOMERY_EXPEND_SA","6/30/2008","69","MONTGOMERY","$1,587,836","$731,817","$993,425","$291,029","$2,835,746","$401,860","$711,717","$220","$64,496","$778,534","$8,396,680","$989,583","$0","$9,386,263","$0","$1,739,018","$11,125,281",
"2018_83_SHELBY_EXPEND_SA","6/30/2018","83","SHELBY","$2,467,091","$577,793","$684,096","$445,749","$6,073,410","$466,815","$1,313,174","$0","$200,100","$1,791,900","$14,020,128","$3,077,233","$0","$17,097,361","$0","$2,394,663","$19,492,024",
"2006_40_HAMILTON_EXPEND_SA","6/30/2006","40","HAMILTON","$2,137,520","$2,039,503","$2,135,679","$1,163,653","$3,960,650","$596,258","$1,130,494","$0","$1,263,416","$1,128,323","$15,555,496","$2,497,570",,"$18,053,066","$0","$1,825,960","$19,879,026",
"2023_42_HARDIN_EXPEND_SA","6/30/2023","42","HARDIN","$5,531,686","$587,748","$0","$2,358,373","$9,142,878","$809,136","$3,417,903","$326,282","$180,828","$193,500","$22,548,334","$2,444,425","$0","$24,992,759","$0","$7,309,700","$32,302,459",
"2017_3_ALLAMAKEE_EXPEND_SA","6/30/2017","3","ALLAMAKEE","$2,459,078","$691,847","$669,033","$2,301,940","$6,067,441","$602,621","$1,232,445","$12,000","$425,000","$6,687,857","$21,149,262","$1,843,443","$0","$22,992,705","$0","$3,089,531","$26,082,236",
"2016_80_RINGGOLD_EXPEND_SA","6/30/2016","80","RINGGOLD","$1,523,936","$871,488","$562,630","$303,322","$3,482,402","$279,090","$827,657","$0","$489,956","$450,000","$8,790,481","$749,451","$0","$9,539,932","$0","$3,333,641","$12,873,573",
"2012_68_MONROE_EXPEND_SA","6/30/2012","68","MONROE","$1,381,348","$929,279","$1,053,842","$340,500","$2,673,417","$406,856","$1,126,291","$0","$433,429","$794,500","$9,139,462","$949,712","$0","$10,089,174","$0","$1,724,811","$11,813,985",
"2006_3_ALLAMAKEE_EXPEND_SA","6/30/2006","3","ALLAMAKEE","$1,167,396","$658,693","$1,729,663","$1,089,957","$3,497,974","$567,716","$854,869","$55,363","$0","$900,000","$10,521,631","$1,009,050",,"$11,530,681","$0","$2,608,677","$14,139,358",
"2026_31_DUBUQUE_EXPEND_SA","6/30/2026","31","DUBUQUE","$24,570,883","$6,178,776","$0","$4,789,861","$14,590,040","$2,449,225","$7,539,745","$416,300","$2,505,047","$5,662,500","$68,702,377","$6,200,726","$0","$74,903,103","$0","$25,352,039","$100,255,142",
"2026_53_JONES_EXPEND_SA","6/30/2026","53","JONES","$5,449,712","$1,116,649","$0","$1,546,403","$8,601,424","$1,042,010","$4,360,569","$3,800","$0","$1,420,000","$23,540,567","$3,875,216","$0","$27,415,783","$0","$11,293,724","$38,709,507",
"2019_69_MONTGOMERY_EXPEND_SA","6/30/2019","69","MONTGOMERY","$3,398,396","$592,746","$214,725","$467,730","$4,479,415","$538,188","$1,374,413","$0","$1,263,206","$4,121,488","$16,450,307","$1,010,000","$0","$17,460,307","$0","$2,450,913","$19,911,220",
"2025_52_JOHNSON_EXPEND_SA","6/30/2025","52","JOHNSON","$38,977,902","$30,807,472","$0","$9,067,801","$12,905,342","$4,049,923","$20,237,499","$66,500","$17,361,380","$36,338,857","$169,812,676","$27,111,381","$0","$196,924,057","$0","$29,854,840","$226,778,897",
"2021_50_JASPER_EXPEND_SA","6/30/2021","50","JASPER","$7,682,722","$2,098,939","$1,218,400","$1,725,876","$8,156,649","$1,531,645","$3,664,413","$22,000","$1,389,975","$3,736,000","$31,226,619","$6,907,484","$0","$38,134,103","$0","$8,998,361","$47,132,464",
"2025_93_WAYNE_EXPEND_SA","6/30/2025","93","WAYNE","$2,711,791","$1,475,598","$0","$586,014","$5,389,100","$533,915","$1,504,923","$10,000","$249,600","$1,295,000","$13,755,941","$904,375","$0","$14,660,316","$0","$3,146,388","$17,806,704",
"2022_85_STORY_EXPEND_SA","6/30/2022","85","STORY","$15,359,113","$2,867,869","$1,892,751","$4,708,301","$7,659,876","$2,115,889","$7,733,922","$0","$1,550,920","$2,886,947","$46,775,588","$4,363,809","$0","$51,139,397","$0","$18,367,577","$69,506,974",
"2025_16_CEDAR_EXPEND_SA","6/30/2025","16","CEDAR","$6,806,691","$1,913,043","$0","$2,484,306","$8,419,000","$665,838","$2,761,424","$8,400","$717,505","$2,755,000","$26,531,207","$3,117,066","$0","$29,648,273","$0","$4,386,682","$34,034,955",
"2009_84_SIOUX_EXPEND_SA","6/30/2009","84","SIOUX","$3,499,008","$2,117,515","$2,734,182","$839,280","$5,491,400","$757,531","$1,946,749","$42,700","$531,968","$3,445,075","$21,405,408","$1,767,733","$0","$23,173,141","$0","$3,736,907","$26,910,048",
"2020_75_PLYMOUTH_EXPEND_SA","6/30/2020","75","PLYMOUTH","$4,449,139","$406,897","$657,043","$1,250,970","$8,925,000","$958,001","$2,873,985","$0","$653,625","$3,995,000","$24,169,660","$4,025,000","$0","$28,194,660","$0","$6,098,992","$34,293,652",
"2016_17_CERRO GORDO_EXPEND_SA","6/30/2016","17","CERRO GORDO","$8,702,324","$5,356,742","$2,439,446","$1,463,369","$5,694,852","$1,274,283","$3,405,156","$0","$1,434,389","$1,490,000","$31,260,561","$6,244,339","$0","$37,504,900","$0","$11,015,204","$48,520,104",
"2008_51_JEFFERSON_EXPEND_SA","6/30/2008","51","JEFFERSON","$2,515,579","$576,700","$1,298,424","$571,862","$2,625,000","$421,804","$860,558","$0","$161,605","$335,000","$9,366,532","$766,909","$0","$10,133,441","$0","$2,960,747","$13,094,188",
"2022_47_IDA_EXPEND_SA","6/30/2022","47","IDA","$1,182,642","$304,338","$267,540","$1,115,155","$4,037,503","$347,794","$966,693","$0","$1,065,536","$10,308,000","$19,595,201","$2,241,583","$0","$21,836,784","$0","$3,800,012","$25,636,796",
"2017_50_JASPER_EXPEND_SA","6/30/2017","50","JASPER","$6,306,154","$2,123,092","$833,307","$1,476,004","$8,782,025","$1,584,103","$3,320,675","$29,000","$1,673,630","$935,000","$27,062,990","$3,061,770","$0","$30,124,760","$0","$9,529,115","$39,653,875",
"2013_55_KOSSUTH_EXPEND_SA","6/30/2013","55","KOSSUTH","$2,800,742","$335,562","$2,257,291","$906,758","$6,425,500","$774,246","$1,892,051","$70,193","$0","$1,575,000","$17,037,343","$2,895,741","$0","$19,933,084","$0","$7,056,384","$26,989,468",
"2014_19_CHICKASAW_EXPEND_SA","6/30/2014","19","CHICKASAW","$1,816,491","$1,698,439","$647,211","$676,514","$4,828,301","$457,419","$1,460,737","$2,100","$0","$224,710","$11,811,922","$1,540,831","$0","$13,352,753","$0","$3,699,318","$17,052,071",
"2008_37_GREENE_EXPEND_SA","6/30/2008","37","GREENE","$1,169,427","$330,192","$1,226,500","$1,120,430","$3,662,750","$304,071","$1,170,983","$0","$0","$115,000","$9,099,353","$1,222,000","$0","$10,321,353","$0","$2,250,348","$12,571,701",
"2011_35_FRANKLIN_EXPEND_SA","6/30/2011","35","FRANKLIN","$1,626,478","$1,833,346","$1,398,065","$1,666,441","$4,318,644","$504,686","$2,162,369","$0","$1,126,104","$15,480,000","$30,116,133","$1,629,046","$0","$31,745,179","$0","$4,247,220","$35,992,399",
"2015_42_HARDIN_EXPEND_SA","6/30/2015","42","HARDIN","$3,898,732","$283,150","$1,194,174","$917,490","$5,454,314","$527,649","$1,875,409","$104,682","$2,486,866","$687,300","$17,429,766","$2,120,901","$0","$19,550,667","$0","$5,909,102","$25,459,769",
"2007_52_JOHNSON_EXPEND_SA","6/30/2007","52","JOHNSON","$13,846,019","$7,106,101","$10,968,430","$2,760,165","$7,201,871","$2,038,302","$6,153,346","$1,950","$848,000","$4,374,578","$55,298,762","$11,167,068",,"$66,465,830","$0","$10,875,641","$77,341,471",
"2024_19_CHICKASAW_EXPEND_SA","6/30/2024","19","CHICKASAW","$3,969,514","$1,784,749","$0","$827,214","$7,283,124","$611,228","$1,989,177","$0","$476,473","$4,086,198","$21,027,677","$2,678,515","$0","$23,706,192","$0","$5,362,245","$29,068,437",
"2014_3_ALLAMAKEE_EXPEND_SA","6/30/2014","3","ALLAMAKEE","$1,673,242","$712,448","$944,617","$1,175,049","$5,190,301","$500,611","$988,610","$222,200","$0","$1,465,000","$12,872,078","$1,582,034","$0","$14,454,112","$0","$1,842,561","$16,296,673",
"2023_59_LUCAS_EXPEND_SA","6/30/2023","59","LUCAS","$1,436,303","$755,910","$0","$465,402","$4,674,678","$411,701","$2,634,556","$0","$0","$484,000","$10,862,550","$803,797","$0","$11,666,347","$0","$1,735,726","$13,402,073",
"2018_29_DES MOINES_EXPEND_SA","6/30/2018","29","DES MOINES","$7,059,297","$1,953,971","$2,239,767","$2,010,702","$5,862,684","$1,110,888","$3,248,301","$0","$3,313,531","$4,524,593","$31,323,734","$2,709,551","$0","$34,033,285","$0","$7,493,352","$41,526,637",
"2010_24_CRAWFORD_EXPEND_SA","6/30/2010","24","CRAWFORD","$1,792,933","$2,613,330","$2,055,415","$1,107,096","$7,625,400","$533,370","$1,205,016","$0","$245,700","$1,856,000","$19,034,260","$1,450,000","$0","$20,484,260","$0","$4,731,426","$25,215,686",
"2023_69_MONTGOMERY_EXPEND_SA","6/30/2023","69","MONTGOMERY","$3,862,266","$616,146","$0","$451,849","$4,798,713","$515,204","$1,401,039","$0","$1,069,791","$600,000","$13,315,008","$1,095,000","$0","$14,410,008","$0","$4,663,912","$19,073,920",
"2015_94_WEBSTER_EXPEND_SA","6/30/2015","94","WEBSTER","$5,288,860","$4,222,208","$3,239,329","$1,843,301","$8,700,000","$994,222","$3,004,080","$150,000","$1,024,422","$2,950,000","$31,416,422","$4,174,899","$0","$35,591,321","$0","$7,144,593","$42,735,914",
"2014_72_OSCEOLA_EXPEND_SA","6/30/2014","72","OSCEOLA","$1,215,518","$256,802","$370,030","$480,913","$2,793,308","$295,429","$739,226","$67,400","$462,677","$285,000","$6,966,303","$1,285,801","$0","$8,252,104","$0","$2,679,243","$10,931,347",
"2025_3_ALLAMAKEE_EXPEND_SA","6/30/2025","3","ALLAMAKEE","$3,734,047","$820,847","$0","$1,512,310","$8,220,704","$740,175","$2,847,706","$26,750","$363,075","$1,300,000","$19,565,614","$2,224,571","$0","$21,790,185","$0","$3,627,780","$25,417,965",
"2009_73_PAGE_EXPEND_SA","6/30/2009","73","PAGE","$1,562,403","$720,578","$1,750,000","$320,442","$3,386,000","$421,287","$912,608","$5,000","$103,065","$545,000","$9,726,383","$722,762","$0","$10,449,145","$0","$2,652,328","$13,101,473",
"2007_37_GREENE_EXPEND_SA","6/30/2007","37","GREENE","$1,072,528","$304,369","$1,238,400","$777,504","$3,409,450","$290,930","$1,188,552","$37,000","$318,410","$478,000","$9,115,143","$923,000",,"$10,038,143","$0","$1,752,264","$11,790,407",
"2014_51_JEFFERSON_EXPEND_SA","6/30/2014","51","JEFFERSON","$2,781,385","$991,225","$607,300","$669,589","$3,133,000","$545,416","$986,822","$0","$293,940","$564,500","$10,573,177","$1,000,000","$0","$11,573,177","$0","$3,555,850","$15,129,027",
"2005_1_ADAIR_EXPEND_SA","6/30/2005","1","ADAIR","$773,332","$238,189","$662,043","$271,823","$3,295,708","$233,533","$539,761","$0","$172,028","$391,000","$6,577,417","$912,831",,"$7,490,248","$0","$2,397,437","$9,887,685",
"2016_91_WARREN_EXPEND_SA","6/30/2016","91","WARREN","$4,874,830","$3,334,155","$1,798,061","$1,349,331","$6,405,460","$963,733","$2,864,420","$0","$61,450","$2,309,340","$23,960,780","$2,941,000","$0","$26,901,780","$0","$8,216,293","$35,118,073",
"2012_85_STORY_EXPEND_SA","6/30/2012","85","STORY","$9,858,348","$2,109,692","$10,217,799","$2,533,670","$5,402,550","$1,184,291","$4,573,426","$0","$1,922,643","$1,867,031","$39,669,450","$2,105,000","$0","$41,774,450","$0","$8,389,637","$50,164,087",
"2010_61_MADISON_EXPEND_SA","6/30/2010","61","MADISON","$2,101,375","$896,701","$1,520,550","$611,832","$4,079,967","$435,536","$863,133","$0","$81,381","$973,111","$11,563,586","$1,335,534","$0","$12,899,120","$0","$2,929,923","$15,829,043",
"2011_73_PAGE_EXPEND_SA","6/30/2011","73","PAGE","$1,681,411","$775,047","$1,937,888","$365,530","$3,414,970","$457,870","$973,431","$5,000","$102,935","$384,251","$10,098,333","$717,948","$0","$10,816,281","$0","$3,486,476","$14,302,757",
"2023_37_GREENE_EXPEND_SA","6/30/2023","37","GREENE","$3,146,064","$728,106","$0","$791,930","$6,068,471","$422,442","$3,964,438","$110,000","$512,185","$95,000","$15,838,636","$2,025,342","$0","$17,863,978","$0","$4,650,740","$22,514,718",
"2018_9_BREMER_EXPEND_SA","6/30/2018","9","BREMER","$4,237,923","$1,799,707","$1,186,675","$1,591,049","$5,365,000","$842,912","$1,695,739","$66,626","$322,310","$1,417,000","$18,524,941","$3,248,850","$0","$21,773,791","$0","$12,030,292","$33,804,083",
"2024_76_POCAHONTAS_EXPEND_SA","6/30/2024","76","POCAHONTAS","$2,991,110","$1,717,328","$0","$1,256,404","$6,631,186","$520,579","$3,207,822","$12,385","$0","$2,399,380","$18,736,194","$1,669,119","$0","$20,405,313","$0","$12,275,441","$32,680,754",
"2024_70_MUSCATINE_EXPEND_SA","6/30/2024","70","MUSCATINE","$14,969,311","$1,782,650","$0","$2,133,698","$8,292,700","$1,028,828","$4,460,780","$0","$2,775,981","$24,351,785","$59,795,733","$3,729,824","$0","$63,525,557","$0","$16,744,779","$80,270,336",
"2005_89_VAN BUREN_EXPEND_SA","6/30/2005","89","VAN BUREN","$828,161","$339,321","$540,221","$277,032","$2,515,630","$277,021","$464,929","$3,500","$0","$394,283","$5,640,098","$487,441",,"$6,127,539","$0","$1,594,455","$7,721,994",
"2020_70_MUSCATINE_EXPEND_SA","6/30/2020","70","MUSCATINE","$12,179,914","$1,296,156","$1,547,850","$1,557,760","$7,471,000","$945,638","$3,377,859","$0","$2,228,386","$5,165,000","$35,769,563","$2,544,710","$0","$38,314,273","$0","$13,994,699","$52,308,972",
"2016_22_CLAYTON_EXPEND_SA","6/30/2016","22","CLAYTON","$2,941,162","$773,119","$812,835","$1,295,555","$5,269,836","$705,401","$1,887,550","$1,300","$352,964","$1,750,500","$15,790,222","$1,700,000","$0","$17,490,222","$0","$4,685,066","$22,175,288",
"2022_4_APPANOOSE_EXPEND_SA","6/30/2022","4","APPANOOSE","$2,978,946","$519,248","$624,242","$839,144","$4,126,420","$610,127","$1,085,832","$0","$562,323","$7,549,830","$18,896,112","$913,054","$0","$19,809,166","$0","$6,152,279","$25,961,445",
"2009_86_TAMA_EXPEND_SA","6/30/2009","86","TAMA","$2,969,634","$1,368,823","$2,000,213","$602,577","$5,767,957","$506,319","$1,365,652","$10,750","$0","$1,517,305","$16,109,230","$1,618,472","$0","$17,727,702","$0","$1,493,319","$19,221,021",
"2008_56_LEE_EXPEND_SA","6/30/2008","56","LEE","$3,872,948","$3,658,181","$4,936,309","$1,312,349","$3,750,136","$934,902","$2,436,746","$0","$0","$1,058,885","$21,960,456","$1,060,000","$0","$23,020,456","$0","$5,305,519","$28,325,975",
"2023_74_PALO ALTO_EXPEND_SA","6/30/2023","74","PALO ALTO","$2,596,212","$454,638","$0","$1,641,087","$7,425,287","$532,896","$2,730,454","$0","$2,263,605","$8,982,000","$26,626,179","$2,849,734","$0","$29,475,913","$0","$8,439,262","$37,915,175",
"2017_13_CALHOUN_EXPEND_SA","6/30/2017","13","CALHOUN","$2,806,675","$1,801,601","$456,906","$955,963","$5,364,400","$677,049","$1,361,216","$5,225","$0","$1,303,000","$14,732,035","$1,713,646","$0","$16,445,681","$0","$6,513,025","$22,958,706",
"2025_98_WORTH_EXPEND_SA","6/30/2025","98","WORTH","$3,103,486","$1,231,270","$0","$1,161,550","$4,868,963","$588,631","$2,927,601","$0","$861,950","$2,220,000","$16,963,451","$1,510,301","$0","$18,473,752","$0","$9,639,928","$28,113,680",
"2022_68_MONROE_EXPEND_SA","6/30/2022","68","MONROE","$2,382,767","$875,626","$320,668","$506,191","$3,851,668","$571,273","$1,542,328","$0","$1,007,000","$777,895","$11,835,416","$1,487,102","$0","$13,322,518","$0","$3,831,653","$17,154,171",
"2009_13_CALHOUN_EXPEND_SA","6/30/2009","13","CALHOUN","$1,353,352","$3,839,719","$1,238,670","$650,097","$3,724,645","$493,785","$1,084,334","$7,425","$0","$660,450","$13,052,477","$1,336,815","$0","$14,389,292","$0","$2,938,457","$17,327,749",
"2014_87_TAYLOR_EXPEND_SA","6/30/2014","87","TAYLOR","$1,152,653","$1,025,085","$192,538","$430,225","$3,297,000","$343,719","$667,490","$0","$747,308","$1,031,919","$8,887,937","$771,732","$0","$9,659,669","$0","$1,990,609","$11,650,278",
"2006_72_OSCEOLA_EXPEND_SA","6/30/2006","72","OSCEOLA","$905,498","$152,717","$596,500","$606,003","$2,000,000","$301,827","$598,431","$0","$0","$490,000","$5,650,976","$540,842",,"$6,191,818","$0","$2,016,081","$8,207,899",
"2017_24_CRAWFORD_EXPEND_SA","6/30/2017","24","CRAWFORD","$2,467,339","$2,606,770","$683,505","$1,156,890","$7,323,176","$750,775","$1,558,865","$0","$153,242","$1,118,274","$17,818,836","$2,881,500","$0","$20,700,336","$0","$6,164,253","$26,864,589",
"2010_29_DES MOINES_EXPEND_SA","6/30/2010","29","DES MOINES","$6,177,634","$2,719,388","$4,722,417","$2,226,465","$4,218,376","$1,028,225","$3,244,193","$0","$680,756","$2,030,000","$27,047,454","$1,708,524","$0","$28,755,978","$0","$2,325,430","$31,081,408",
"2016_70_MUSCATINE_EXPEND_SA","6/30/2016","70","MUSCATINE","$9,467,761","$1,267,849","$2,565,838","$1,223,003","$6,301,000","$836,277","$3,016,251","$0","$2,316,850","$5,691,000","$32,685,829","$1,654,756","$0","$34,340,585","$0","$8,851,214","$43,191,799",
"2010_88_UNION_EXPEND_SA","6/30/2010","88","UNION","$1,316,777","$433,052","$1,560,976","$521,615","$3,297,025","$450,806","$911,389","$0","$810,369","$4,756,096","$14,058,105","$637,873","$0","$14,695,978","$0","$2,747,337","$17,443,315",
"2012_70_MUSCATINE_EXPEND_SA","6/30/2012","70","MUSCATINE","$8,209,965","$1,334,886","$5,247,687","$991,908","$5,375,000","$861,859","$2,754,287","$0","$4,614,506","$1,406,000","$30,796,098","$1,459,100","$0","$32,255,198","$0","$3,491,253","$35,746,451",
"2024_44_HENRY_EXPEND_SA","6/30/2024","44","HENRY","$5,256,580","$1,616,873","$0","$1,321,309","$6,261,700","$913,410","$2,550,951","$69,000","$881,681","$2,993,300","$21,864,804","$2,004,096","$0","$23,868,900","$212,127","$4,659,684","$28,528,584",
"2015_16_CEDAR_EXPEND_SA","6/30/2015","16","CEDAR","$3,834,578","$1,491,082","$1,107,631","$1,349,123","$5,549,305","$546,527","$1,677,576","$5,100","$0","$887,000","$16,447,922","$2,098,303","$0","$18,546,225","$0","$2,383,250","$20,929,475",
"2026_39_GUTHRIE_EXPEND_SA","6/30/2026","39","GUTHRIE","$4,104,681","$2,320,103","$0","$2,160,901","$8,042,019","$714,881","$2,339,456","$21,500","$2,191,477","$1,487,800","$23,382,818","$3,517,671","$0","$26,900,489","$0","$12,267,408","$39,167,897",
"2021_13_CALHOUN_EXPEND_SA","6/30/2021","13","CALHOUN","$3,357,955","$1,502,773","$506,567","$1,680,389","$5,558,200","$509,917","$1,650,233","$81,850","$0","$4,156,660","$19,004,544","$1,792,673","$0","$20,797,217","$0","$7,754,928","$28,552,145",
"2019_21_CLAY_EXPEND_SA","6/30/2019","21","CLAY","$3,260,580","$733,074","$178,078","$1,501,181","$6,110,976","$535,766","$2,327,252","$0","$489,800","$1,450,000","$16,586,707","$2,401,902","$0","$18,988,609","$0","$6,601,431","$25,590,040",
"2006_17_CERRO GORDO_EXPEND_SA","6/30/2006","17","CERRO GORDO","$5,240,076","$4,188,140","$5,429,403","$994,409","$5,459,027","$842,986","$2,051,057","$50,500","$673,581","$1,935,000","$26,864,179","$2,365,932",,"$29,230,111","$0","$6,963,738","$36,193,849",
"2026_26_DAVIS_EXPEND_SA","6/30/2026","26","DAVIS","$2,284,651","$514,995","$0","$536,110","$6,727,568","$585,047","$1,301,939","$20,000","$491,606","$1,720,000","$14,181,916","$1,301,006","$0","$15,482,922","$0","$5,068,278","$20,551,200",
"2011_90_WAPELLO_EXPEND_SA","6/30/2011","90","WAPELLO","$3,468,777","$1,740,358","$4,904,521","$964,484","$3,807,680","$584,602","$2,745,257","$138,516","$310,100","$1,282,000","$19,946,295","$1,099,500","$0","$21,045,795","$0","$7,196,342","$28,242,137",
